annee,valeur_pct,indicateur,source,observation
2011,3.5,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",
2012,4.0,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",
2013,4.5,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",
2014,5.7,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",
2015,7.12,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",
2016,11.31,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",
2017,12.3602,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",
2018,15.5,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",
2019,20.7273,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",
2020,29.0237,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",
2021,32.5051,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",
2022,37.6212,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",
2023,,Individuals using the Internet (% of population),"Banque mondiale — World Development Indicators (IT.NET.USER.ZS, donnée UIT)",Valeur manquante dans la source
