region,prefecture,unite_commune,communes_bdd,population,libelle_source,correction
Plateaux,Anié,Anié 1,Anié 1,100745,ANIE 1,
Plateaux,Anié,Anié 2,Anié 2,79413,ANIE 2,
Plateaux,Est-Mono,Est-Mono 1,Est-Mono 1,34652,EST-MONO 1,
Plateaux,Est-Mono,Est-Mono 2,Est-Mono 2,101866,EST-MONO 2,
Plateaux,Est-Mono,Est-Mono 3,Est-Mono 3,27942,EST-MONO 1,libellé source « EST-MONO 1 » en position 3 → Est-Mono 3 (somme des cantons vérifiée)
Maritime,Zio,Zio 1,Zio 1,307292,ZIO 1,
Maritime,Zio,Zio 2,Zio 2,96193,ZIO 2,
Maritime,Zio,Zio 3,Zio 3,67843,ZIO 3,
Maritime,Zio,Zio 4,Zio 4,28704,ZIO 4,
Maritime,Yoto,Yoto 1,Yoto 1,77353,YOTO 1,
Maritime,Yoto,Yoto 2,Yoto 2,43412,YOTO 2,
Maritime,Yoto,Yoto 3,Yoto 3,54086,YOTO 3,
Maritime,Bas-Mono,Bas-Mono 1,Bas-Mono 1,55382,BAS-MONO 1,
Maritime,Bas-Mono,Bas-Mono 2,Bas-Mono 2,39478,BAS-MONO 2,
Maritime,Lacs,Lacs 1,Lacs 1,52994,LACS 1,
Maritime,Lacs,Lacs 2,Lacs 2,42855,LACS 2,
Maritime,Lacs,Lacs 3,Lacs 3,108176,LACS 3,
Maritime,Lacs,Lacs 4,Lacs 4,37222,LACS 4,
Maritime,Vo,Vo 1,Vo 1,88865,VO 1,
Maritime,Vo,Vo 2,Vo 2,24396,VO 2,
Maritime,Vo,Vo 3,Vo 3,64651,VO 3,
Maritime,Vo,Vo 4,Vo 4,46499,VO 4,
Maritime,Avé,Avé 1,Avé 1,75044,AVE 1,
Maritime,Avé,Avé 2,Avé 2,36170,AVE 2,
Maritime,Golfe,Golfe 1,Golfe 1,351550,GOLFE 1,
Maritime,Golfe,Golfe 2,Golfe 2,136153,GOLFE 2,
Maritime,Golfe,Golfe 3,Golfe 3,52769,GOLFE 3,
Maritime,Golfe,Golfe 4,Golfe 4,155842,GOLFE 4,
Maritime,Golfe,Golfe 5,Golfe 5,169993,GOLFE 5,
Maritime,Golfe,Golfe 6,Golfe 6,181561,GOLFE 6,
Maritime,Golfe,Golfe 7,Golfe 7,257813,GOLFE 7,
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé 1,317255,AGOE-NYIVE 1,
Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Agoè-Nyivé 2,128164,AGOE-NYIVE 2,
Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Agoè-Nyivé 3,47554,AGOE-NYIVE 3,
Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Agoè-Nyivé 4,154431,AGOE-NYIVE 4,
Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Agoè-Nyivé 5,125097,AGOE-NYIVE 5,
Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Agoè-Nyivé 6,110194,AGOE-NYIVE 6,
