etab_id,nom,localite,region,prefecture,commune,canton,categorie,categorie_source,statut_source,statut_groupe,jours_ouverture,nb_jours_ouverture,ouvert_samedi,ouvert_dimanche,jours_renseignes,lon,lat,unite_commune,prefecture_geom,coherence_geo
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41ce,UMECTO Papri,PAPRI,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 2,Papri,Micro-finance,Micro-Finance,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven,5,False,False,True,0.423813333333333,10.992986666666667,Kpendjal-Ouest 2,Kpendjal-Ouest,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41cd,FUCEC Togo Namondjoga,NAMOUDJOGA,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 2,Namoundjoga,Micro-finance,Micro-Finance,Fermé,Déclaré non opérationnel,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,0.3939783333333329,10.893786666666667,Kpendjal-Ouest 2,Kpendjal-Ouest,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41cc,COOPEC SIFA de Nano,NANO CENTRE,Savanes,Tandjoaré,Tandjoaré 2,Nano,Micro-finance,Micro-Finance,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Sam–Dim,7,True,True,True,0.1084326897437387,10.705816546858273,Tandjoaré 2,Tandjoaré,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41cb,CMECS Sikbaog,SIKBAOG,Savanes,Tandjoaré,Tandjoaré 2,Doukpergou,Micro-finance,Micro-Finance,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven,5,False,False,True,0.0835583333333327,10.638938333333334,Tandjoaré 2,Tandjoaré,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41ca,SPT Kando,KANDO CENTRE,Savanes,Oti-Sud,Oti-Sud 1,Gando,Banque,Banque,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,0.7425432377008774,10.326937118346466,Oti-Sud 1,Oti-Sud,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41c9,COOPEC Nataan Agence de Nano,NANO,Savanes,Tandjoaré,Tandjoaré 2,Nano,Micro-finance,Micro-Finance,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Dim,6,False,True,True,0.1132467112871075,10.701393226030408,Tandjoaré 2,Tandjoaré,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41c8,Amis Financer des Pauvres,NANO,Savanes,Tandjoaré,Tandjoaré 2,Nano,Micro-finance,Micro-Finance,Utilisé,En activité,Lun–Mar–Mer–Jeu–Dim,5,False,True,True,0.1106811769479809,10.702305254359022,Tandjoaré 2,Tandjoaré,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41c7,COOPEC Lumiere Mango,MANGO,Savanes,Oti,Oti 1,Mango,Micro-finance,Micro-Finance,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,0.4689195499524681,10.351599742699463,Oti 1,Oti,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41c6,CEMEC Cinkanssé,Quartier  Nazemssé,Savanes,Cinkassé,Cinkassé 1,Cinkassé,Micro-finance,Micro-Finance,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven,5,False,False,True,0.02932876,11.096675949999998,Cinkassé 1,Cinkassé,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41c5,La Caisse Mutuelle d'epargne et de Credit de LoTogou,LOTOGOU CENTRE,Savanes,Tône,Tône 3,Lotogou,Micro-finance,Micro-Finance,Utilisé,En activité,Lun–Mar–Mer–Jeu–Dim,5,False,True,True,0.025030935448983,10.798298552289147,Tône 3,Tône,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41c4,V.I.Z.A- Togo,Quartier Nazemssé,Savanes,Cinkassé,Cinkassé 1,Cinkassé,Micro-finance,Micro-Finance,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Sam–Dim,7,True,True,True,0.025253169999999,11.0961158,Cinkassé 1,Cinkassé,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41c3,COOPEC Lando,Ville Cinkanssé,Savanes,Cinkassé,Cinkassé 1,Cinkassé,Micro-finance,Micro-Finance,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,0.0211470599999989,11.09717948,Cinkassé 1,Cinkassé,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41c2,COOPEC SIFA de Naki Est Centre,NAKI EST CENTRE,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,Micro-finance,Micro-Finance,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven,5,False,False,True,0.3846333333333324,10.729888333333337,Kpendjal-Ouest 1,Kpendjal-Ouest,Concordant
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-41c1,ORABANK Mango,N/a,Savanes,Oti,Oti 1,Mango,Banque,Banque,Utilisé,En activité,Lun–Mar–Mer–Jeu–Ven–Sam,6,True,False,True,0.4754733333333329,10.35716333333333,Oti 1,Oti,Concordant
