fichier,colonne,type,lignes,non_nuls,taux_manquant_pct,taux_non_informatif_pct,valeurs_distinctes,min,max,exemples,periode,granularite
individus-utilisant-internet-de-la-population-.csv,countryiso3code,texte,64,64,0.0,0.0,1,,,TGO,1960–2023,National
individus-utilisant-internet-de-la-population-.csv,date,entier,64,64,0.0,0.0,64,1960,2023,2023 | 2022 | 2021,1960–2023,National
individus-utilisant-internet-de-la-population-.csv,value,décimal,64,51,20.31,0.0,28,0.0,37.6212,0.0 | 37.6212 | 29.0237,1960–2023,National
individus-utilisant-internet-de-la-population-.csv,unit,décimal,64,0,100.0,0.0,0,,,,1960–2023,National
individus-utilisant-internet-de-la-population-.csv,obs_status,décimal,64,0,100.0,0.0,0,,,,1960–2023,National
individus-utilisant-internet-de-la-population-.csv,decimal,entier,64,64,0.0,0.0,1,0,0,0,1960–2023,National
observationdata-cxnvmoc.csv,indicateur,texte,160,160,0.0,0.0,25,,,T abonnés Internet Fixe et Mobile (Toute | T abonnés Internet haut débit Fixe et Mo | T abonnés Internet mobiles (Toutes techn,2013–2019,National (certaines séries par opérateur)
observationdata-cxnvmoc.csv,Unit,texte,160,160,0.0,0.0,1,,,Nombre,2013–2019,National (certaines séries par opérateur)
observationdata-cxnvmoc.csv,Date,entier,160,160,0.0,0.0,7,2013,2019,2013 | 2014 | 2015,2013–2019,National (certaines séries par opérateur)
observationdata-cxnvmoc.csv,Value,décimal,160,160,0.0,0.0,128,0.0,3686211.0,0.0 | 431869.0 | 210448.0,2013–2019,National (certaines séries par opérateur)
observationdata-mesqyx.csv,indicateur,texte,70,70,0.0,0.0,10,,,Le nombre total d'abonnés fixe et mobile | Le nombre total d'abonnées mobiles GSM | Le nombre total d'abonnés fixe,2013–2019,National (parts de marché par opérateur)
observationdata-mesqyx.csv,Unit,texte,70,70,0.0,0.0,3,,,% | Nombre | Francs CFA,2013–2019,National (parts de marché par opérateur)
observationdata-mesqyx.csv,Date,entier,70,70,0.0,0.0,7,2013,2019,2013 | 2014 | 2015,2013–2019,National (parts de marché par opérateur)
observationdata-mesqyx.csv,Value,décimal,70,70,0.0,0.0,70,0.47,33234000000000.0,3778401.0 | 4272018.0 | 4710010.0,2013–2019,National (parts de marché par opérateur)
observationdata-kwwolwb.csv,indicateur,texte,759,759,0.0,0.0,1,,,Population résidente par découpage admin,2022–2022,"Pays, région, préfecture, commune, canton/quartier"
observationdata-kwwolwb.csv,découpage-administratif,texte,759,759,0.0,0.0,745,,,ATSANVE | CINKASSE | SOTOUBOUA,2022–2022,"Pays, région, préfecture, commune, canton/quartier"
observationdata-kwwolwb.csv,sexe,texte,759,759,0.0,0.0,1,,,Total,2022–2022,"Pays, région, préfecture, commune, canton/quartier"
observationdata-kwwolwb.csv,Unit,texte,759,759,0.0,0.0,1,,,Nombre,2022–2022,"Pays, région, préfecture, commune, canton/quartier"
observationdata-kwwolwb.csv,Date,entier,759,759,0.0,0.0,1,2022,2022,2022,2022–2022,"Pays, région, préfecture, commune, canton/quartier"
observationdata-kwwolwb.csv,Value,entier,759,759,0.0,0.0,743,132,8095498,16044 | 20414 | 4303,2022–2022,"Pays, région, préfecture, commune, canton/quartier"
