indicateur_source,unite_source,annee,valeur,fichier,famille,libelle,groupe,operateur_source,technologie,unite,statut_qualite
T abonnés Internet mobiles (Haut débit),Nombre,2017,2015858.0,observationdata-cxnvmoc.csv,Internet — abonnés,Abonnés Internet mobile haut débit (3G + 4G),Marché,Ensemble du marché,Mobile haut débit,abonnés,ok
T abonnés Internet mobiles (Haut débit),Nombre,2018,2524282.0,observationdata-cxnvmoc.csv,Internet — abonnés,Abonnés Internet mobile haut débit (3G + 4G),Marché,Ensemble du marché,Mobile haut débit,abonnés,ok
T abonnés Internet mobiles (Haut débit),Nombre,2019,2050304.0,observationdata-cxnvmoc.csv,Internet — abonnés,Abonnés Internet mobile haut débit (3G + 4G),Marché,Ensemble du marché,Mobile haut débit,abonnés,ok
Abonnés GPRS /EDGE Togo Cellulaire,Nombre,2013,39594.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Abonnés 2G (GPRS/EDGE) — Togocom,Togocom,Togo Cellulaire,2G (GPRS/EDGE),abonnés,ok
Abonnés GPRS /EDGE Togo Cellulaire,Nombre,2014,31610.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Abonnés 2G (GPRS/EDGE) — Togocom,Togocom,Togo Cellulaire,2G (GPRS/EDGE),abonnés,ok
Abonnés GPRS /EDGE Togo Cellulaire,Nombre,2015,23096.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Abonnés 2G (GPRS/EDGE) — Togocom,Togocom,Togo Cellulaire,2G (GPRS/EDGE),abonnés,ok
Abonnés GPRS /EDGE Togo Cellulaire,Nombre,2016,15350.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Abonnés 2G (GPRS/EDGE) — Togocom,Togocom,Togo Cellulaire,2G (GPRS/EDGE),abonnés,ok
Abonnés GPRS /EDGE Togo Cellulaire,Nombre,2017,12011.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Abonnés 2G (GPRS/EDGE) — Togocom,Togocom,Togo Cellulaire,2G (GPRS/EDGE),abonnés,ok
Abonnés GPRS /EDGE Togo Cellulaire,Nombre,2018,29489.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Abonnés 2G (GPRS/EDGE) — Togocom,Togocom,Togo Cellulaire,2G (GPRS/EDGE),abonnés,ok
Abonnés GPRS /EDGE Togo Cellulaire,Nombre,2019,1134.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Abonnés 2G (GPRS/EDGE) — Togocom,Togocom,Togo Cellulaire,2G (GPRS/EDGE),abonnés,ok
Abonnés GPRS/EDGE Atlantique Telecom,Nombre,2013,109824.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Abonnés 2G (GPRS/EDGE) — Moov,Moov,Atlantique Telecom,2G (GPRS/EDGE),abonnés,ok
Abonnés GPRS/EDGE Atlantique Telecom,Nombre,2014,284926.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Abonnés 2G (GPRS/EDGE) — Moov,Moov,Atlantique Telecom,2G (GPRS/EDGE),abonnés,ok
Abonnés GPRS/EDGE Atlantique Telecom,Nombre,2015,381711.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Abonnés 2G (GPRS/EDGE) — Moov,Moov,Atlantique Telecom,2G (GPRS/EDGE),abonnés,ok
Abonnés GPRS/EDGE Atlantique Telecom,Nombre,2016,68615.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Abonnés 2G (GPRS/EDGE) — Moov,Moov,Atlantique Telecom,2G (GPRS/EDGE),abonnés,ok
Abonnés GPRS/EDGE Atlantique Telecom,Nombre,2017,577380.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Abonnés 2G (GPRS/EDGE) — Moov,Moov,Atlantique Telecom,2G (GPRS/EDGE),abonnés,ok
Abonnés GPRS/EDGE Atlantique Telecom,Nombre,2018,1106284.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Abonnés 2G (GPRS/EDGE) — Moov,Moov,Atlantique Telecom,2G (GPRS/EDGE),abonnés,ok
Abonnés GPRS/EDGE Atlantique Telecom,Nombre,2019,1328472.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Abonnés 2G (GPRS/EDGE) — Moov,Moov,Atlantique Telecom,2G (GPRS/EDGE),abonnés,ok
Nombre de clients 3G Togo Cellulaire,Nombre,2013,130019.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Clients 3G — Togocom,Togocom,Togo Cellulaire,3G,abonnés,ok
Nombre de clients 3G Togo Cellulaire,Nombre,2014,210448.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Clients 3G — Togocom,Togocom,Togo Cellulaire,3G,abonnés,ok
Nombre de clients 3G Togo Cellulaire,Nombre,2015,431869.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Clients 3G — Togocom,Togocom,Togo Cellulaire,3G,abonnés,ok
Nombre de clients 3G Togo Cellulaire,Nombre,2016,1142917.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Clients 3G — Togocom,Togocom,Togo Cellulaire,3G,abonnés,ok
Nombre de clients 3G Togo Cellulaire,Nombre,2017,1610821.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Clients 3G — Togocom,Togocom,Togo Cellulaire,3G,abonnés,ok
Nombre de clients 3G Togo Cellulaire,Nombre,2018,1932767.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Clients 3G — Togocom,Togocom,Togo Cellulaire,3G,abonnés,ok
Nombre de clients 3G Togo Cellulaire,Nombre,2019,1242250.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Clients 3G — Togocom,Togocom,Togo Cellulaire,3G,abonnés,ok
Nombre de clients 3G Atlantique Telecom,Nombre,2013,0.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Clients 3G — Moov,Moov,Atlantique Telecom,3G,abonnés,ok
Nombre de clients 3G Atlantique Telecom,Nombre,2014,0.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Clients 3G — Moov,Moov,Atlantique Telecom,3G,abonnés,ok
Nombre de clients 3G Atlantique Telecom,Nombre,2015,0.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Clients 3G — Moov,Moov,Atlantique Telecom,3G,abonnés,ok
Nombre de clients 3G Atlantique Telecom,Nombre,2016,294508.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Clients 3G — Moov,Moov,Atlantique Telecom,3G,abonnés,ok
Nombre de clients 3G Atlantique Telecom,Nombre,2017,405037.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Clients 3G — Moov,Moov,Atlantique Telecom,3G,abonnés,ok
Nombre de clients 3G Atlantique Telecom,Nombre,2018,467873.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Clients 3G — Moov,Moov,Atlantique Telecom,3G,abonnés,ok
Nombre de clients 3G Atlantique Telecom,Nombre,2019,633580.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Clients 3G — Moov,Moov,Atlantique Telecom,3G,abonnés,ok
Nombre de clients 4G Togo Cellulaire,Nombre,2013,0.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Clients 4G — Togocom,Togocom,Togo Cellulaire,4G,abonnés,ok
Nombre de clients 4G Togo Cellulaire,Nombre,2014,0.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Clients 4G — Togocom,Togocom,Togo Cellulaire,4G,abonnés,ok
Nombre de clients 4G Togo Cellulaire,Nombre,2015,0.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Clients 4G — Togocom,Togocom,Togo Cellulaire,4G,abonnés,ok
Nombre de clients 4G Togo Cellulaire,Nombre,2016,0.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Clients 4G — Togocom,Togocom,Togo Cellulaire,4G,abonnés,ok
Nombre de clients 4G Togo Cellulaire,Nombre,2017,0.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Clients 4G — Togocom,Togocom,Togo Cellulaire,4G,abonnés,ok
Nombre de clients 4G Togo Cellulaire,Nombre,2018,123642.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Clients 4G — Togocom,Togocom,Togo Cellulaire,4G,abonnés,ok
Nombre de clients 4G Togo Cellulaire,Nombre,2019,174474.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Clients 4G — Togocom,Togocom,Togo Cellulaire,4G,abonnés,ok
Nombre de clients 4G Atlantique Telecom,Nombre,2013,0.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Clients 4G — Moov,Moov,Atlantique Telecom,4G,abonnés,serie_incomplete
Nombre de clients 4G Atlantique Telecom,Nombre,2014,0.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Clients 4G — Moov,Moov,Atlantique Telecom,4G,abonnés,serie_incomplete
Nombre de clients 4G Atlantique Telecom,Nombre,2015,0.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Clients 4G — Moov,Moov,Atlantique Telecom,4G,abonnés,serie_incomplete
Nombre de clients 4G Atlantique Telecom,Nombre,2016,0.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Clients 4G — Moov,Moov,Atlantique Telecom,4G,abonnés,serie_incomplete
Nombre de clients 4G Atlantique Telecom,Nombre,2017,0.0,observationdata-cxnvmoc.csv,Internet mobile — technologie,Clients 4G — Moov,Moov,Atlantique Telecom,4G,abonnés,serie_incomplete
T Togo Cellulaire,Nombre,2013,169613.0,observationdata-cxnvmoc.csv,Internet mobile — opérateur,Abonnés Internet mobile — Togocom,Togocom,Togo Cellulaire,Mobile,abonnés,ok
T Togo Cellulaire,Nombre,2014,242058.0,observationdata-cxnvmoc.csv,Internet mobile — opérateur,Abonnés Internet mobile — Togocom,Togocom,Togo Cellulaire,Mobile,abonnés,ok
T Togo Cellulaire,Nombre,2015,454965.0,observationdata-cxnvmoc.csv,Internet mobile — opérateur,Abonnés Internet mobile — Togocom,Togocom,Togo Cellulaire,Mobile,abonnés,ok
T Togo Cellulaire,Nombre,2016,1158267.0,observationdata-cxnvmoc.csv,Internet mobile — opérateur,Abonnés Internet mobile — Togocom,Togocom,Togo Cellulaire,Mobile,abonnés,ok
T Togo Cellulaire,Nombre,2017,1622832.0,observationdata-cxnvmoc.csv,Internet mobile — opérateur,Abonnés Internet mobile — Togocom,Togocom,Togo Cellulaire,Mobile,abonnés,ok
T Togo Cellulaire,Nombre,2018,2085898.0,observationdata-cxnvmoc.csv,Internet mobile — opérateur,Abonnés Internet mobile — Togocom,Togocom,Togo Cellulaire,Mobile,abonnés,ok
T Togo Cellulaire,Nombre,2019,1417858.0,observationdata-cxnvmoc.csv,Internet mobile — opérateur,Abonnés Internet mobile — Togocom,Togocom,Togo Cellulaire,Mobile,abonnés,ok
T Atlantique Telecom,Nombre,2013,109824.0,observationdata-cxnvmoc.csv,Internet mobile — opérateur,Abonnés Internet mobile — Moov,Moov,Atlantique Telecom,Mobile,abonnés,ok
T Atlantique Telecom,Nombre,2014,284926.0,observationdata-cxnvmoc.csv,Internet mobile — opérateur,Abonnés Internet mobile — Moov,Moov,Atlantique Telecom,Mobile,abonnés,ok
T Atlantique Telecom,Nombre,2015,381711.0,observationdata-cxnvmoc.csv,Internet mobile — opérateur,Abonnés Internet mobile — Moov,Moov,Atlantique Telecom,Mobile,abonnés,ok
T Atlantique Telecom,Nombre,2016,363123.0,observationdata-cxnvmoc.csv,Internet mobile — opérateur,Abonnés Internet mobile — Moov,Moov,Atlantique Telecom,Mobile,abonnés,ok
T Atlantique Telecom,Nombre,2017,982417.0,observationdata-cxnvmoc.csv,Internet mobile — opérateur,Abonnés Internet mobile — Moov,Moov,Atlantique Telecom,Mobile,abonnés,ok
T Atlantique Telecom,Nombre,2018,1574157.0,observationdata-cxnvmoc.csv,Internet mobile — opérateur,Abonnés Internet mobile — Moov,Moov,Atlantique Telecom,Mobile,abonnés,ok
T Atlantique Telecom,Nombre,2019,1962052.0,observationdata-cxnvmoc.csv,Internet mobile — opérateur,Abonnés Internet mobile — Moov,Moov,Atlantique Telecom,Mobile,abonnés,ok
T Abonnés Internet Togo Telecom,Nombre,2013,65991.0,observationdata-cxnvmoc.csv,Internet fixe,Abonnés Internet fixe — Togo Telecom,Togocom,Togo Telecom,Fixe,abonnés,ok
T Abonnés Internet Togo Telecom,Nombre,2014,79621.0,observationdata-cxnvmoc.csv,Internet fixe,Abonnés Internet fixe — Togo Telecom,Togocom,Togo Telecom,Fixe,abonnés,ok
T Abonnés Internet Togo Telecom,Nombre,2015,63108.0,observationdata-cxnvmoc.csv,Internet fixe,Abonnés Internet fixe — Togo Telecom,Togocom,Togo Telecom,Fixe,abonnés,ok
T Abonnés Internet Togo Telecom,Nombre,2016,44613.0,observationdata-cxnvmoc.csv,Internet fixe,Abonnés Internet fixe — Togo Telecom,Togocom,Togo Telecom,Fixe,abonnés,ok
T Abonnés Internet Togo Telecom,Nombre,2017,45757.0,observationdata-cxnvmoc.csv,Internet fixe,Abonnés Internet fixe — Togo Telecom,Togocom,Togo Telecom,Fixe,abonnés,ok
T Abonnés Internet Togo Telecom,Nombre,2018,19340.0,observationdata-cxnvmoc.csv,Internet fixe,Abonnés Internet fixe — Togo Telecom,Togocom,Togo Telecom,Fixe,abonnés,ok
T Abonnés Internet Togo Telecom,Nombre,2019,23466.0,observationdata-cxnvmoc.csv,Internet fixe,Abonnés Internet fixe — Togo Telecom,Togocom,Togo Telecom,Fixe,abonnés,ok
LS point à point,Nombre,2013,448.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Liaisons spécialisées point à point,Non précisé,Non précisé,LS point à point,liaisons,serie_incomplete
