indicateur_source,unite_source,annee,valeur,fichier,famille,libelle,groupe,operateur_source,technologie,unite,statut_qualite
GVA,Nombre,2017,0.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Offre « GVA »,Non précisé,Non précisé,GVA,abonnés,ok
GVA,Nombre,2018,1180.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Offre « GVA »,Non précisé,Non précisé,GVA,abonnés,ok
GVA,Nombre,2019,5945.0,observationdata-cxnvmoc.csv,Internet fixe — technologie,Offre « GVA »,Non précisé,Non précisé,GVA,abonnés,ok
Taux de pénétration Internet (Toutes technologies) (%),Nombre,2013,5.24,observationdata-cxnvmoc.csv,Internet — pénétration,"Taux de pénétration Internet (abonnements, toutes technologies)",Marché,Ensemble du marché,Toutes,%,unite_corrigee
Taux de pénétration Internet (Toutes technologies) (%),Nombre,2014,8.95,observationdata-cxnvmoc.csv,Internet — pénétration,"Taux de pénétration Internet (abonnements, toutes technologies)",Marché,Ensemble du marché,Toutes,%,unite_corrigee
Taux de pénétration Internet (Toutes technologies) (%),Nombre,2015,12.94,observationdata-cxnvmoc.csv,Internet — pénétration,"Taux de pénétration Internet (abonnements, toutes technologies)",Marché,Ensemble du marché,Toutes,%,unite_corrigee
Taux de pénétration Internet (Toutes technologies) (%),Nombre,2016,21.98,observationdata-cxnvmoc.csv,Internet — pénétration,"Taux de pénétration Internet (abonnements, toutes technologies)",Marché,Ensemble du marché,Toutes,%,unite_corrigee
Taux de pénétration Internet (Toutes technologies) (%),Nombre,2017,36.31,observationdata-cxnvmoc.csv,Internet — pénétration,"Taux de pénétration Internet (abonnements, toutes technologies)",Marché,Ensemble du marché,Toutes,%,unite_corrigee
Taux de pénétration Internet (Toutes technologies) (%),Nombre,2018,49.55,observationdata-cxnvmoc.csv,Internet — pénétration,"Taux de pénétration Internet (abonnements, toutes technologies)",Marché,Ensemble du marché,Toutes,%,unite_corrigee
Taux de pénétration Internet (Toutes technologies) (%),Nombre,2019,44.79,observationdata-cxnvmoc.csv,Internet — pénétration,"Taux de pénétration Internet (abonnements, toutes technologies)",Marché,Ensemble du marché,Toutes,%,unite_corrigee
Taux de pénétration Internet haut débit (%),Nombre,2013,2.43,observationdata-cxnvmoc.csv,Internet — pénétration,Taux de pénétration Internet haut débit (abonnements),Marché,Ensemble du marché,Haut débit,%,unite_corrigee
Taux de pénétration Internet haut débit (%),Nombre,2014,3.75,observationdata-cxnvmoc.csv,Internet — pénétration,Taux de pénétration Internet haut débit (abonnements),Marché,Ensemble du marché,Haut débit,%,unite_corrigee
Taux de pénétration Internet haut débit (%),Nombre,2015,7.14,observationdata-cxnvmoc.csv,Internet — pénétration,Taux de pénétration Internet haut débit (abonnements),Marché,Ensemble du marché,Haut débit,%,unite_corrigee
Taux de pénétration Internet haut débit (%),Nombre,2016,20.81,observationdata-cxnvmoc.csv,Internet — pénétration,Taux de pénétration Internet haut débit (abonnements),Marché,Ensemble du marché,Haut débit,%,unite_corrigee
Taux de pénétration Internet haut débit (%),Nombre,2017,28.25,observationdata-cxnvmoc.csv,Internet — pénétration,Taux de pénétration Internet haut débit (abonnements),Marché,Ensemble du marché,Haut débit,%,unite_corrigee
Taux de pénétration Internet haut débit (%),Nombre,2018,34.26,observationdata-cxnvmoc.csv,Internet — pénétration,Taux de pénétration Internet haut débit (abonnements),Marché,Ensemble du marché,Haut débit,%,unite_corrigee
Taux de pénétration Internet haut débit (%),Nombre,2019,27.34,observationdata-cxnvmoc.csv,Internet — pénétration,Taux de pénétration Internet haut débit (abonnements),Marché,Ensemble du marché,Haut débit,%,unite_corrigee
Le nombre total d'abonnés fixe et mobile,Nombre,2013,3778401.0,observationdata-mesqyx.csv,Marché — abonnés,Abonnés téléphonie fixe + mobile,Marché,Ensemble du marché,Voix,abonnés,ok
Le nombre total d'abonnés fixe et mobile,Nombre,2014,4272018.0,observationdata-mesqyx.csv,Marché — abonnés,Abonnés téléphonie fixe + mobile,Marché,Ensemble du marché,Voix,abonnés,ok
Le nombre total d'abonnés fixe et mobile,Nombre,2015,4710010.0,observationdata-mesqyx.csv,Marché — abonnés,Abonnés téléphonie fixe + mobile,Marché,Ensemble du marché,Voix,abonnés,ok
Le nombre total d'abonnés fixe et mobile,Nombre,2016,5385024.0,observationdata-mesqyx.csv,Marché — abonnés,Abonnés téléphonie fixe + mobile,Marché,Ensemble du marché,Voix,abonnés,ok
Le nombre total d'abonnés fixe et mobile,Nombre,2017,6106016.0,observationdata-mesqyx.csv,Marché — abonnés,Abonnés téléphonie fixe + mobile,Marché,Ensemble du marché,Voix,abonnés,ok
Le nombre total d'abonnés fixe et mobile,Nombre,2018,6182198.0,observationdata-mesqyx.csv,Marché — abonnés,Abonnés téléphonie fixe + mobile,Marché,Ensemble du marché,Voix,abonnés,ok
Le nombre total d'abonnés fixe et mobile,Nombre,2019,6282788.0,observationdata-mesqyx.csv,Marché — abonnés,Abonnés téléphonie fixe + mobile,Marché,Ensemble du marché,Voix,abonnés,ok
Le nombre total d'abonnées mobiles GSM,Nombre,2013,3713908.0,observationdata-mesqyx.csv,Marché — abonnés,Abonnés mobiles GSM,Marché,Ensemble du marché,Mobile,abonnés,ok
Le nombre total d'abonnées mobiles GSM,Nombre,2014,4218707.0,observationdata-mesqyx.csv,Marché — abonnés,Abonnés mobiles GSM,Marché,Ensemble du marché,Mobile,abonnés,ok
Le nombre total d'abonnées mobiles GSM,Nombre,2015,4657321.0,observationdata-mesqyx.csv,Marché — abonnés,Abonnés mobiles GSM,Marché,Ensemble du marché,Mobile,abonnés,ok
Le nombre total d'abonnées mobiles GSM,Nombre,2016,5351215.0,observationdata-mesqyx.csv,Marché — abonnés,Abonnés mobiles GSM,Marché,Ensemble du marché,Mobile,abonnés,ok
Le nombre total d'abonnées mobiles GSM,Nombre,2017,6069905.0,observationdata-mesqyx.csv,Marché — abonnés,Abonnés mobiles GSM,Marché,Ensemble du marché,Mobile,abonnés,ok
Le nombre total d'abonnées mobiles GSM,Nombre,2018,6144507.0,observationdata-mesqyx.csv,Marché — abonnés,Abonnés mobiles GSM,Marché,Ensemble du marché,Mobile,abonnés,ok
Le nombre total d'abonnées mobiles GSM,Nombre,2019,6239183.0,observationdata-mesqyx.csv,Marché — abonnés,Abonnés mobiles GSM,Marché,Ensemble du marché,Mobile,abonnés,ok
Le nombre total d'abonnés fixe,Nombre,2013,64493.0,observationdata-mesqyx.csv,Marché — abonnés,Abonnés téléphonie fixe,Marché,Ensemble du marché,Fixe,abonnés,ok
Le nombre total d'abonnés fixe,Nombre,2014,53311.0,observationdata-mesqyx.csv,Marché — abonnés,Abonnés téléphonie fixe,Marché,Ensemble du marché,Fixe,abonnés,ok
Le nombre total d'abonnés fixe,Nombre,2015,52689.0,observationdata-mesqyx.csv,Marché — abonnés,Abonnés téléphonie fixe,Marché,Ensemble du marché,Fixe,abonnés,ok
Le nombre total d'abonnés fixe,Nombre,2016,33809.0,observationdata-mesqyx.csv,Marché — abonnés,Abonnés téléphonie fixe,Marché,Ensemble du marché,Fixe,abonnés,ok
Le nombre total d'abonnés fixe,Nombre,2017,36111.0,observationdata-mesqyx.csv,Marché — abonnés,Abonnés téléphonie fixe,Marché,Ensemble du marché,Fixe,abonnés,ok
Le nombre total d'abonnés fixe,Nombre,2018,37691.0,observationdata-mesqyx.csv,Marché — abonnés,Abonnés téléphonie fixe,Marché,Ensemble du marché,Fixe,abonnés,ok
Le nombre total d'abonnés fixe,Nombre,2019,43605.0,observationdata-mesqyx.csv,Marché — abonnés,Abonnés téléphonie fixe,Marché,Ensemble du marché,Fixe,abonnés,ok
Télédensité fixe,%,2013,0.97,observationdata-mesqyx.csv,Marché — télédensité,Télédensité fixe,Marché,Ensemble du marché,Fixe,%,ok
Télédensité fixe,%,2014,0.78,observationdata-mesqyx.csv,Marché — télédensité,Télédensité fixe,Marché,Ensemble du marché,Fixe,%,ok
Télédensité fixe,%,2015,0.76,observationdata-mesqyx.csv,Marché — télédensité,Télédensité fixe,Marché,Ensemble du marché,Fixe,%,ok
Télédensité fixe,%,2016,0.47,observationdata-mesqyx.csv,Marché — télédensité,Télédensité fixe,Marché,Ensemble du marché,Fixe,%,ok
Télédensité fixe,%,2017,0.49,observationdata-mesqyx.csv,Marché — télédensité,Télédensité fixe,Marché,Ensemble du marché,Fixe,%,ok
Télédensité fixe,%,2018,0.51,observationdata-mesqyx.csv,Marché — télédensité,Télédensité fixe,Marché,Ensemble du marché,Fixe,%,ok
Télédensité fixe,%,2019,0.57,observationdata-mesqyx.csv,Marché — télédensité,Télédensité fixe,Marché,Ensemble du marché,Fixe,%,ok
Télédensité mobile GSM,%,2013,55.87,observationdata-mesqyx.csv,Marché — télédensité,Télédensité mobile GSM,Marché,Ensemble du marché,Mobile,%,ok
Télédensité mobile GSM,%,2014,61.96,observationdata-mesqyx.csv,Marché — télédensité,Télédensité mobile GSM,Marché,Ensemble du marché,Mobile,%,ok
Télédensité mobile GSM,%,2015,66.78,observationdata-mesqyx.csv,Marché — télédensité,Télédensité mobile GSM,Marché,Ensemble du marché,Mobile,%,ok
Télédensité mobile GSM,%,2016,74.92,observationdata-mesqyx.csv,Marché — télédensité,Télédensité mobile GSM,Marché,Ensemble du marché,Mobile,%,ok
Télédensité mobile GSM,%,2017,82.98,observationdata-mesqyx.csv,Marché — télédensité,Télédensité mobile GSM,Marché,Ensemble du marché,Mobile,%,ok
Télédensité mobile GSM,%,2018,82.59,observationdata-mesqyx.csv,Marché — télédensité,Télédensité mobile GSM,Marché,Ensemble du marché,Mobile,%,ok
Télédensité mobile GSM,%,2019,81.91,observationdata-mesqyx.csv,Marché — télédensité,Télédensité mobile GSM,Marché,Ensemble du marché,Mobile,%,ok
Chiffres d'Affaires,Francs CFA,2013,178673000000.0,observationdata-mesqyx.csv,Marché — finances,Chiffre d'affaires (périmètre non précisé),Marché,Ensemble du marché,Toutes,FCFA,ok
Chiffres d'Affaires,Francs CFA,2014,188077000000.0,observationdata-mesqyx.csv,Marché — finances,Chiffre d'affaires (périmètre non précisé),Marché,Ensemble du marché,Toutes,FCFA,ok
Chiffres d'Affaires,Francs CFA,2015,199604000000.0,observationdata-mesqyx.csv,Marché — finances,Chiffre d'affaires (périmètre non précisé),Marché,Ensemble du marché,Toutes,FCFA,ok
Chiffres d'Affaires,Francs CFA,2016,187552000000.0,observationdata-mesqyx.csv,Marché — finances,Chiffre d'affaires (périmètre non précisé),Marché,Ensemble du marché,Toutes,FCFA,ok
Chiffres d'Affaires,Francs CFA,2017,178483000000.0,observationdata-mesqyx.csv,Marché — finances,Chiffre d'affaires (périmètre non précisé),Marché,Ensemble du marché,Toutes,FCFA,ok
Chiffres d'Affaires,Francs CFA,2018,177177000000.0,observationdata-mesqyx.csv,Marché — finances,Chiffre d'affaires (périmètre non précisé),Marché,Ensemble du marché,Toutes,FCFA,ok
Chiffres d'Affaires,Francs CFA,2019,184914000000.0,observationdata-mesqyx.csv,Marché — finances,Chiffre d'affaires (périmètre non précisé),Marché,Ensemble du marché,Toutes,FCFA,ok
Investissement,Francs CFA,2013,42174000000.0,observationdata-mesqyx.csv,Marché — finances,Investissement (périmètre non précisé),Marché,Ensemble du marché,Toutes,FCFA,ok
Investissement,Francs CFA,2014,19057000000.0,observationdata-mesqyx.csv,Marché — finances,Investissement (périmètre non précisé),Marché,Ensemble du marché,Toutes,FCFA,ok
Investissement,Francs CFA,2015,31467000000.0,observationdata-mesqyx.csv,Marché — finances,Investissement (périmètre non précisé),Marché,Ensemble du marché,Toutes,FCFA,ok
Investissement,Francs CFA,2016,40889000000.0,observationdata-mesqyx.csv,Marché — finances,Investissement (périmètre non précisé),Marché,Ensemble du marché,Toutes,FCFA,ok
Investissement,Francs CFA,2017,44958000000.0,observationdata-mesqyx.csv,Marché — finances,Investissement (périmètre non précisé),Marché,Ensemble du marché,Toutes,FCFA,ok
Investissement,Francs CFA,2018,68541000000.0,observationdata-mesqyx.csv,Marché — finances,Investissement (périmètre non précisé),Marché,Ensemble du marché,Toutes,FCFA,ok
Investissement,Francs CFA,2019,47203000000.0,observationdata-mesqyx.csv,Marché — finances,Investissement (périmètre non précisé),Marché,Ensemble du marché,Toutes,FCFA,ok
ARPU segment mobile GSM,Francs CFA,2013,32670000000000.0,observationdata-mesqyx.csv,Marché — finances,ARPU segment mobile GSM,Marché,Ensemble du marché,Mobile,FCFA,unite_incoherente
ARPU segment mobile GSM,Francs CFA,2014,33234000000000.0,observationdata-mesqyx.csv,Marché — finances,ARPU segment mobile GSM,Marché,Ensemble du marché,Mobile,FCFA,unite_incoherente
ARPU segment mobile GSM,Francs CFA,2015,32358000000000.0,observationdata-mesqyx.csv,Marché — finances,ARPU segment mobile GSM,Marché,Ensemble du marché,Mobile,FCFA,unite_incoherente
ARPU segment mobile GSM,Francs CFA,2016,28019000000000.0,observationdata-mesqyx.csv,Marché — finances,ARPU segment mobile GSM,Marché,Ensemble du marché,Mobile,FCFA,unite_incoherente
ARPU segment mobile GSM,Francs CFA,2017,24315000000000.0,observationdata-mesqyx.csv,Marché — finances,ARPU segment mobile GSM,Marché,Ensemble du marché,Mobile,FCFA,unite_incoherente
ARPU segment mobile GSM,Francs CFA,2018,24448000000000.0,observationdata-mesqyx.csv,Marché — finances,ARPU segment mobile GSM,Marché,Ensemble du marché,Mobile,FCFA,unite_incoherente
ARPU segment mobile GSM,Francs CFA,2019,25563000000000.0,observationdata-mesqyx.csv,Marché — finances,ARPU segment mobile GSM,Marché,Ensemble du marché,Mobile,FCFA,unite_incoherente
Part de marché Togo Cellulaire (en abonnées) en %,%,2013,54.57,observationdata-mesqyx.csv,Marché — parts,Part de marché — Togocom,Togocom,Togo Cellulaire,Mobile,%,ok
Part de marché Togo Cellulaire (en abonnées) en %,%,2014,54.48,observationdata-mesqyx.csv,Marché — parts,Part de marché — Togocom,Togocom,Togo Cellulaire,Mobile,%,ok
Part de marché Togo Cellulaire (en abonnées) en %,%,2015,54.03,observationdata-mesqyx.csv,Marché — parts,Part de marché — Togocom,Togocom,Togo Cellulaire,Mobile,%,ok
Part de marché Togo Cellulaire (en abonnées) en %,%,2016,53.98,observationdata-mesqyx.csv,Marché — parts,Part de marché — Togocom,Togocom,Togo Cellulaire,Mobile,%,ok
Part de marché Togo Cellulaire (en abonnées) en %,%,2017,51.52,observationdata-mesqyx.csv,Marché — parts,Part de marché — Togocom,Togocom,Togo Cellulaire,Mobile,%,ok
Part de marché Togo Cellulaire (en abonnées) en %,%,2018,44.59,observationdata-mesqyx.csv,Marché — parts,Part de marché — Togocom,Togocom,Togo Cellulaire,Mobile,%,ok
Part de marché Togo Cellulaire (en abonnées) en %,%,2019,51.44,observationdata-mesqyx.csv,Marché — parts,Part de marché — Togocom,Togocom,Togo Cellulaire,Mobile,%,ok
Part de marché Atlantique Telecom Togo (en abonnées),%,2013,45.43,observationdata-mesqyx.csv,Marché — parts,Part de marché — Moov,Moov,Atlantique Telecom,Mobile,%,ok
Part de marché Atlantique Telecom Togo (en abonnées),%,2014,45.52,observationdata-mesqyx.csv,Marché — parts,Part de marché — Moov,Moov,Atlantique Telecom,Mobile,%,ok
Part de marché Atlantique Telecom Togo (en abonnées),%,2015,45.97,observationdata-mesqyx.csv,Marché — parts,Part de marché — Moov,Moov,Atlantique Telecom,Mobile,%,ok
Part de marché Atlantique Telecom Togo (en abonnées),%,2016,46.02,observationdata-mesqyx.csv,Marché — parts,Part de marché — Moov,Moov,Atlantique Telecom,Mobile,%,ok
Part de marché Atlantique Telecom Togo (en abonnées),%,2017,48.48,observationdata-mesqyx.csv,Marché — parts,Part de marché — Moov,Moov,Atlantique Telecom,Mobile,%,ok
Part de marché Atlantique Telecom Togo (en abonnées),%,2018,55.41,observationdata-mesqyx.csv,Marché — parts,Part de marché — Moov,Moov,Atlantique Telecom,Mobile,%,ok
Part de marché Atlantique Telecom Togo (en abonnées),%,2019,48.56,observationdata-mesqyx.csv,Marché — parts,Part de marché — Moov,Moov,Atlantique Telecom,Mobile,%,ok
